complex_id	apexes (fully_observed)	apexes (partially_observed)
833		
835	40	"15,55"
1218		
2223		
2228		
629		
5856		
2820		
4976		
4977		
4997		
4998		
4999		
5684		
5685		
1		
1620		
5378		
2921		50
156		
1750		
3296	7	
1245	32	
5558		
3036		
2748	65	
2756	65	
6025	65	
2174-1	38	
2174-2	38	
726-1	33	38
726-2	33	38
727-1	33	38
727-2	33	38
29		
553		
816		
2730	9	
5195	7	
623	"10,55"	
180		
5526		
2145		
1068		"15,40,55"
1743	"15,50,55,65"	
2757	"15,40"	65
784-2		
809-2		
2256		
1612		
1614		
1615		
1617		
1618		
1619		
2540		
2892		
2893		
2917		
2957		
3186		
5342		
2966		
6023	50	
1056	10	
5755		
1051		
1052		
1215		
1253		
1255		
1258		
1260		
2187		
2188		
2189		
2191		
2192		
226		
227		
2715		
2724	45	
2725		
2772		
2773		
2881		
390		
4072		
615		
729		
80		
81		
3634		
5225	"25,35"	
2823		
360		
361		
2653		
1064		
162	"10,20"	
3522	"10,20"	
3525	"10,20"	
3529	"10,20"	
3530	"10,20"	
3545	"10,20"	
3552	"10,20"	
3556	"10,20"	
3087		
3088		
3089		
655		
789		7
5535		
407		
408		
5222		
518-3		
621-3		
2462		
550		
5714		
1054		
5466	35	
5467		35
5475		
3154-1		
3154-2		
3154-3		"6,20,27"
3120		"6,20,27"
3124		
3125		
3127-1		
3127-5		
3127-9		
3149-1		
3149-6		
3150-1		
3150-6		
3164		
3127-3		
3127-7		
3127-11		
3149-3		
3149-8		
3150-3		
3150-8		
5712		
3183		
788		8
30	48	
2890		
2897		
2907		
2908		
2911		
2930		
2931		
2945		
3113		
3156		
1194		
1462		
5513		
3151		
644		
2000		
3492		
2589		
786		
3129		
934		
936		
100	"10,20,26,55"	
1259		
2234		
3048	"10,20,26"	55
3149-2	"10,20,26"	
3149-4	"10,20,26"	
3149-5	"10,20,26"	
3149-7	"10,20,26"	
3149-9	"10,20,26"	
3149-10	"10,20,26"	
5589	"10,20,26"	55
5593		
5596		
889		
919	"10,20,26"	55
1190		
1158		
1471		
1831		
2641-2		
2642		
4		
5118		
5375		
1144	10	
2590		
2761		
1211		
1101	"6,12,25"	
1105	"6,12,25"	
1113	"6,12,25"	
1114	"6,12,25"	
1734	28	
2774		
2775		
3079		
3080	10	
2744		
5210		
5529		
5531		
5540		
5541		
471		
475		
476		
477		
5409		
2233		
2235		
5798		
5991		
6072		
6073		
1814		
2718		
1139		
1140		
1557		
1561		
2880		
5369		
2819		
2923		
3828		
2204		
5498		
5276		
5277		
1474		
2692		
2704		
2706		
2707		
2708		
2754		
2760		
2762		
2834		
3038		
3197		
3200		
3739		
3740		
3753		
3754		
3959		
1306	65	
1133		
1134		
265		
1159		
2814	"11,20,26,54"	
3053	"11,20,26,54"	
3167	10	20
3263	10	20
3961	"10,20"	
5870		
720		
747	12	
749	"12,20,27,55"	
2162	52	
1058	22	
219	46	
205	"12,24,40"	
221		
622	"12,24,40"	
1224		
1243		
222	46	
1162		
1214	"32,44"	
2172	"32,44"	
223		
2722	"32,44"	
391	"32,44"	
224		
3184		
3187		
3190		
770		
774		
5770		
422		
5805		
930	20	
926		
928		
933		
5337		
1217		
3182		
3188		
3189		
5762		
299-1		
299-2		
299-3		
5241	"12,24,29"	
1385		
678	51	
3544	10	
3551	10	
1062		
5749		
1040		
1345	"22,30"	
2238	12	
2749	12	
5499		
207	45	
208	45	
209	45	
210	45	
211	45	
214	45	
5267	"10,25,55"	
5270	"10,25,55"	
1168	"12,22,35"	
867	12	
1318		
1197	10	
1198		
1204		
1205	"10,28"	
1206	"10,28"	
1207	"10,28"	
138	"10,28"	
5377	7	
5381	7	
2626		
2758		
1874	"10,20"	
874	"10,20"	
876		
790	"10,33"	
3098	6	
3988		
1530		
3099		
660		
3033	"45,62"	
1153		
1154		
5370		
1167	21	
1195		
2759		
1927		
3941		
186	35	
3071	15	
5283	41	
5284	41	
1187	50	
707	35	
12	35	
5918		
5832		
5836		
2833		
2294		
1377		
460		
461		
918		
429	35	
3176		
5534		
831-1		
831-2		
3532	10	
3		
2806		
612		
3297		
2734		
2735		
2891		
3128		
3271		
43		
45		
466		
467		
468		
5341		
1233	"10,20"	
3054	10	
745	10	
2776		
3177		
812		
813		
814		
783		
2455		
2457		
3173		
3174		
2592		
2593		
1087		
1118		
1119		
2579		
2582		
4039		
1166-2		
5757		
5758		
5759		
5760		
639	15	
641		
1232	10	
923		
5837		
1794		
1795		
1192	40	
1863	41	
1731		
2765		
386		
254	55	
702		
58	10	
1069		
1970		
3711		
944		
1179		
927		
1123		
5451	10	
1558		
1042		
1296		
1787		
1089		
5756	48	
724		
2051		
2743		
3168		
895		
896		
2830		
2		
2886		
2943		
6053		
2074		
1293		
763		
773		
1188		
752		
1813		
2123		
4043		
5730		
5827		
1812		
